pau pau
R pau
sil sil
inhale inhale
br inhale
exhale exhale
vf vf
a a
i i
u u
oo oo
e e
ae ae
ia ia
ua ua
ooa ooa
o o
oh oh
eh eh
ai ai
ao ao
N N
M M
NG NG
gcl gcl
bcl bcl
dcl dcl
ga g a
gi g i
nooag n ooa gcl
nog n o gcl
nohg n oh gcl
nehg n eh gcl
naig n ai gcl
naog n ao gcl
ba b a
bi b i
bu b u
boo b oo
be b e
bae b ae
bia b ia
bua b ua
booa b ooa
bo b o
boh b oh
beh b eh
bai b ai
bao b ao
baw b a w
biw b i w
buw b u w
boow b oo w
bew b e w
baew b ae w
biaw b ia w
buaw b ua w
booaw b ooa w
bow b o w
bohw b oh w
behw b eh w
baiw b ai w
baow b ao w
bal b a l
bil b i l
bul b u l
bool b oo l
bel b e l
bael b ae l
bial b ia l
bual b ua l
booal b ooa l
bol b o l
bohl b oh l
behl b eh l
bail b ai l
baol b ao l
ban b a N
bin b i N
bun b u N
boon b oo N
ben b e N
baen b ae N
bian b ia N
buan b ua N
booan b ooa N
bon b o N
bohn b oh N
behn b eh N
bain b ai N
baon b ao N
bam b a M
bim b i M
bum b u M
boom b oo M
bem b e M
baem b ae M
biam b ia M
buam b ua M
booam b ooa M
bom b o M
bohm b oh M
behm b eh M
baim b ai M
baom b ao M
bang b a NG
bing b i NG
bung b u NG
boong b oo NG
beng b e NG
baeng b ae NG
biang b ia NG
buang b ua NG
booang b ooa NG
bong b o NG
bohng b oh NG
behng b eh NG
baing b ai NG
baong b ao NG
bad b a dcl
bid b i dcl
bud b u dcl
bood b oo dcl
bed b e dcl
baed b ae dcl
biad b ia dcl
buad b ua dcl
booad b ooa dcl
bod b o dcl
bohd b oh dcl
behd b eh dcl
baid b ai dcl
baod b ao dcl
bab b a bcl
bib b i bcl
bub b u bcl
boob b oo bcl
beb b e bcl
baeb b ae bcl
biab b ia bcl
buab b ua bcl
booab b ooa bcl
bob b o bcl
bohb b oh bcl
behb b eh bcl
baib b ai bcl
baob b ao bcl
bag b a gcl
big b i gcl
bug b u gcl
boog b oo gcl
beg b e gcl
baeg b ae gcl
